s,m/s
Time,"Ub"
 5.5900046E+001, 1.0502340E+000
 5.6000859E+001, 1.0334318E+000
 5.6100842E+001, 1.0169584E+000
 5.6200598E+001, 1.0170002E+000
 5.6301113E+001, 1.0182066E+000
 5.6400471E+001, 1.0156345E+000
 5.6500486E+001, 1.0068610E+000
 5.6600651E+001, 1.0052890E+000
 5.6701144E+001, 1.0147948E+000
 5.6800808E+001, 1.0202981E+000
 5.6901426E+001, 1.0260383E+000
 5.7000252E+001, 1.0213845E+000
 5.7100428E+001, 1.0052067E+000
 5.7200423E+001, 9.9197237E-001
 5.7300797E+001, 9.7874442E-001
 5.7400250E+001, 9.6865175E-001
 5.7501523E+001, 9.6286518E-001
 5.7601558E+001, 9.6333409E-001
 5.7700555E+001, 9.6617375E-001
 5.7801336E+001, 9.6970408E-001
 5.7900842E+001, 9.7351779E-001
 5.8000518E+001, 9.7910002E-001
 5.8100257E+001, 9.8527806E-001
 5.8200730E+001, 9.9614407E-001
 5.8300233E+001, 1.0078689E+000
 5.8401577E+001, 1.0199057E+000
 5.8500809E+001, 1.0294090E+000
 5.8601749E+001, 1.0339322E+000
 5.8701609E+001, 1.0432101E+000
 5.8800163E+001, 1.0449367E+000
 5.8901020E+001, 1.0478734E+000
 5.9000616E+001, 1.0486540E+000
 5.9100388E+001, 1.0494734E+000
 5.9200310E+001, 1.0544062E+000
 5.9300754E+001, 1.0515905E+000
 5.9400992E+001, 1.0511472E+000
 5.9501230E+001, 1.0562317E+000
 5.9601469E+001, 1.0631874E+000
 5.9701119E+001, 1.0680952E+000
 5.9800054E+001, 1.0714234E+000
 5.9900613E+001, 1.0798924E+000
 6.0000282E+001, 1.0853969E+000
 6.0101700E+001, 1.0910474E+000
 6.0201399E+001, 1.0943031E+000
 6.0300939E+001, 1.0993792E+000
 6.0400934E+001, 1.1010989E+000
 6.0501571E+001, 1.1020028E+000
 6.0601635E+001, 1.1054524E+000
 6.0700369E+001, 1.1085000E+000
 6.0801414E+001, 1.1091401E+000
 6.0900292E+001, 1.1063194E+000
 6.1001247E+001, 1.0949366E+000
 6.1100599E+001, 1.0761024E+000
 6.1200855E+001, 1.0606368E+000
 6.1301038E+001, 1.0525457E+000
 6.1401344E+001, 1.0546720E+000
 6.1501134E+001, 1.0626544E+000
 6.1600150E+001, 1.0639755E+000
 6.1700764E+001, 1.0596582E+000
 6.1801377E+001, 1.0545794E+000
 6.1900233E+001, 1.0625128E+000
 6.2000808E+001, 1.0762366E+000
 6.2100633E+001, 1.0770885E+000
 6.2200204E+001, 1.0642658E+000
 6.2300806E+001, 1.0463938E+000
 6.2400940E+001, 1.0289334E+000
 6.2500420E+001, 1.0232092E+000
 6.2601680E+001, 1.0319199E+000
 6.2701537E+001, 1.0403585E+000
 6.2801485E+001, 1.0411819E+000
 6.2901470E+001, 1.0295233E+000
 6.3001213E+001, 1.0198734E+000
 6.3101220E+001, 1.0213504E+000
 6.3201742E+001, 1.0297080E+000
 6.3301332E+001, 1.0365166E+000
 6.3400933E+001, 1.0414196E+000
 6.3500832E+001, 1.0465038E+000
 6.3601290E+001, 1.0450472E+000
 6.3700071E+001, 1.0409211E+000
 6.3800210E+001, 1.0344404E+000
 6.3901505E+001, 1.0290462E+000
 6.4000484E+001, 1.0285077E+000
 6.4101572E+001, 1.0237852E+000
 6.4201260E+001, 1.0144960E+000
 6.4300096E+001, 9.9923296E-001
 6.4400599E+001, 9.8495643E-001
 6.4501131E+001, 9.8189256E-001
 6.4601036E+001, 9.8753112E-001
 6.4700941E+001, 9.8987917E-001
 6.4800774E+001, 9.9253825E-001
 6.4900216E+001, 9.9497950E-001
 6.5000130E+001, 9.8992227E-001
 6.5101448E+001, 9.8259418E-001
 6.5200586E+001, 9.7245709E-001
 6.5301222E+001, 9.6967194E-001
 6.5401182E+001, 9.8410205E-001
 6.5500292E+001, 1.0051730E+000
 6.5601172E+001, 1.0203418E+000
 6.5701488E+001, 1.0305609E+000
 6.5801149E+001, 1.0331465E+000
 6.5901418E+001, 1.0347694E+000
 6.6000733E+001, 1.0473789E+000
 6.6100047E+001, 1.0658825E+000
 6.6201518E+001, 1.0707311E+000
 6.6301222E+001, 1.0649712E+000
 6.6401398E+001, 1.0554596E+000
 6.6501575E+001, 1.0411252E+000
 6.6601064E+001, 1.0227024E+000
 6.6700584E+001, 1.0116524E+000
 6.6800104E+001, 1.0064912E+000
 6.6901203E+001, 1.0018924E+000
 6.7000723E+001, 9.9628668E-001
 6.7101128E+001, 9.8600270E-001
 6.7201371E+001, 9.7755834E-001
 6.7300735E+001, 9.7776127E-001
 6.7400942E+001, 9.8014263E-001
 6.7500160E+001, 9.8536004E-001
 6.7601304E+001, 9.8745708E-001
 6.7700010E+001, 9.9503530E-001
 6.7800822E+001, 1.0035587E+000
 6.7901378E+001, 1.0032901E+000
 6.8000531E+001, 9.9710571E-001
 6.8101050E+001, 1.0018384E+000
 6.8201121E+001, 1.0104841E+000
 6.8300483E+001, 1.0001514E+000
 6.8400830E+001, 9.8817965E-001
 6.8501053E+001, 9.7987926E-001
 6.8600543E+001, 9.8245248E-001
 6.8701351E+001, 9.7357634E-001
 6.8800311E+001, 9.6198448E-001
 6.8901243E+001, 9.5835022E-001
 6.9000852E+001, 9.5854304E-001
 6.9101256E+001, 9.5970465E-001
 6.9200963E+001, 9.6377864E-001
 6.9300016E+001, 9.7273526E-001
 6.9400870E+001, 9.8178236E-001
