s,mol/mol,mol/mol,mol/mol,mol/mol,C,mg/m3,Pa,kW,kW,kg
Time,"O2 1","O2 2","CO 3","CO2 4","T","Smoke Concentration","Pressure","R1","R2","GAS SOOT"
 8.1009779E+001, 2.0397334E-001, 2.0754224E-001, 8.7427043E-006, 2.4779635E-003, 5.5239535E+001, 2.8490041E+001, 1.0717197E+002, 1.9089339E-004, 1.9089339E-004, 6.7393704E-003
 8.2013786E+001, 2.0396892E-001, 2.0753622E-001, 8.7535080E-006, 2.4805481E-003, 5.5076158E+001, 2.7497963E+001, 1.0702735E+002, 1.9355410E-004, 1.9355410E-004, 6.9014142E-003
 8.3004091E+001, 2.0395579E-001, 2.0752883E-001, 8.7855622E-006, 2.4882166E-003, 5.4947161E+001, 2.7503343E+001, 1.0974693E+002, 1.9800159E-004, 1.9800159E-004, 7.0658289E-003
 8.4004768E+001, 2.0389934E-001, 2.0751866E-001, 8.9234111E-006, 2.5211949E-003, 5.5135993E+001, 2.7547327E+001, 1.0908546E+002, 1.9876347E-004, 1.9876347E-004, 7.2306864E-003
 8.5000394E+001, 2.0384559E-001, 2.0750450E-001, 9.0546729E-006, 2.5525973E-003, 5.5356987E+001, 2.7991138E+001, 1.1070432E+002, 2.0150454E-004, 2.0150454E-004, 7.3994654E-003
 8.6007425E+001, 2.0379667E-001, 2.0748621E-001, 9.1741328E-006, 2.5811763E-003, 5.5505008E+001, 2.8873310E+001, 1.1318984E+002, 2.0140764E-004, 2.0140764E-004, 7.5689087E-003
 8.7003417E+001, 2.0353982E-001, 2.0746778E-001, 9.8013181E-006, 2.7312210E-003, 5.6572757E+001, 2.9052620E+001, 1.1505270E+002, 2.0374740E-004, 2.0374740E-004, 7.7402638E-003
 8.8001675E+001, 2.0310576E-001, 2.0745563E-001, 1.0861261E-005, 2.9847965E-003, 5.9043609E+001, 2.8593392E+001, 1.2068594E+002, 2.0861579E-004, 2.0861579E-004, 7.9139909E-003
 8.9007214E+001, 2.0284147E-001, 2.0745540E-001, 1.1506642E-005, 3.1391943E-003, 6.0444093E+001, 2.7755391E+001, 1.2050982E+002, 2.1283485E-004, 2.1283485E-004, 8.0895695E-003
 9.0002026E+001, 2.0289061E-001, 2.0746819E-001, 1.1386680E-005, 3.1104952E-003, 5.9378475E+001, 3.0253719E+001, 1.2162405E+002, 2.1193337E-004, 2.1193337E-004, 8.2670927E-003
 9.1006591E+001, 2.0245055E-001, 2.0750170E-001, 1.2461217E-005, 3.3675620E-003, 6.3941164E+001, 3.1148873E+001, 1.2011279E+002, 2.1666118E-004, 2.1666118E-004, 8.4446164E-003
 9.2011111E+001, 2.0228595E-001, 2.0753402E-001, 1.2863158E-005, 3.4637203E-003, 6.5003806E+001, 3.2359500E+001, 1.2055708E+002, 2.1707082E-004, 2.1707082E-004, 8.6267162E-003
 9.3007822E+001, 2.0230850E-001, 2.0754470E-001, 1.2808083E-005, 3.4505444E-003, 6.4327115E+001, 3.1991298E+001, 1.2410334E+002, 2.2307099E-004, 2.2307099E-004, 8.8093358E-003
 9.4001167E+001, 2.0218920E-001, 2.0754838E-001, 1.3099391E-005, 3.5202356E-003, 6.5593459E+001, 2.9855078E+001, 1.2935781E+002, 2.2014074E-004, 2.2014074E-004, 8.9922852E-003
 9.5007647E+001, 2.0198568E-001, 2.0754969E-001, 1.3596372E-005, 3.6391309E-003, 6.7214219E+001, 3.1436205E+001, 1.3075237E+002, 2.2578061E-004, 2.2578061E-004, 9.1768383E-003
 9.6009648E+001, 2.0183120E-001, 2.0755005E-001, 1.3973575E-005, 3.7293710E-003, 6.8371126E+001, 3.3627513E+001, 1.3438733E+002, 2.2958283E-004, 2.2958283E-004, 9.3667312E-003
 9.7006265E+001, 2.0170092E-001, 2.0755017E-001, 1.4291695E-005, 3.8054764E-003, 6.9494057E+001, 3.6922326E+001, 1.3718161E+002, 2.2896004E-004, 2.2896004E-004, 9.5555010E-003
 9.8001298E+001, 2.0168834E-001, 2.0754993E-001, 1.4322432E-005, 3.8128300E-003, 6.9406008E+001, 3.5542830E+001, 1.3861538E+002, 2.2767939E-004, 2.2767939E-004, 9.7438818E-003
 9.9007699E+001, 2.0174823E-001, 2.0754947E-001, 1.4176182E-005, 3.7778418E-003, 6.8298057E+001, 3.3211127E+001, 1.4291202E+002, 2.3369584E-004, 2.3369584E-004, 9.9366152E-003
 1.0000560E+002, 2.0177104E-001, 2.0754747E-001, 1.4120494E-005, 3.7645191E-003, 6.7915398E+001, 3.4985137E+001, 1.4458789E+002, 2.3856988E-004, 2.3856988E-004, 1.0129794E-002
